,context,questions,answers
0,"Heliconia
:
Heliconias
are
a
genus
of
flowering
plants
in
the
monotypic
family
with
more
than
150
species
globally.
Native
cultures
across
the
Amazon
use
heliconia
leaves
to
make
a
dish
called
maito,
wherein
they
wrap
various
foods
in
these
leaves
and
cook
them
over
fire
or
in
water.
Some
species
of
heliconia
produce
edible
fruits
that
are
similar
to
bananas,
but
tend
to
be
less
favorable
because
they
contain
more
seeds
and
are
less
sweet
than
widely
cultivated
banana
species.
The
flowers
of
the
heliconias
create
nurseries
for
mosquito
larvae
and
tadpoles,
and
are
important
sources
of
nectar
for
many
hummingbirds
and
insects.
Because
of
their
striking
flowers
and
bold
foliage,
heliconias
are
important
ornamental
flowers
in
any
tropical
garden.
Video","1. What is the monotypic family of heliconia?
2. What is the dish called that is made with heliconia leaves?
3. What is the difference between the edible fruits of heliconia and bananas?
4. What do the flowers of heliconia create?
5. Why are heliconias important ornamental flowers?","1. The monotypic family of heliconia is the family with only one species, which is the genus of flowering plants with more than 150 species globally.
2. The dish called that is made with heliconia leaves is called maito.
3. The difference between the edible fruits of heliconia and bananas is that heliconia fruits tend to contain more seeds and are less sweet than widely cultivated banana species.
4. The flowers of heliconia create nurseries for mosquito larvae and tadpoles, and are important sources of nectar for many hummingbirds and insects.
5. Because of their striking flowers and bold foliage, heliconias are important ornamental flowers in any tropical garden."
1,"Arturio
:
Anthurium
are
a
tropical
genus
consisting
of
600-800
species.
The
leaves
and
flowers
of
these
plants
are
highly
decorative
and
come
in
many
varieties
of
size
and
colors.
The
distinct
heart
shaped
flower
and
leaves
are
used
traditionally
for
hair
washes
and
body
washes.
Some
species
of
Anthurium
are
very
aromatic
and
used
as
a
perfume.
These
plants
are
particularly
adept
at
pulling
toxins
and
contaminants
out
of
the
air.
Because
of
their
decorative
value
and
capacity
to
purify
air,
they
have
become
popular
indoor
plants
internationally.","1. What is the name of the plant?
2. What is the name of the genus?
3. What is the name of the species?
4. What is the name of the flower?
5. What is the name of the leaves?
6. What is the traditional use of the flower?
7. What is the traditional use of the leaves?
8. What is the popular use of the flower?
9. What is the popular use of the leaves?
10. What is the international popularity of the plant?","1. The name of the plant is Anthurium.
2. The name of the genus is Anthurium.
3. The name of the species is Anthurium.
4. The name of the flower is Anthurium.
5. The name of the leaves is Anthurium.
6. The traditional use of the flower is for hair and body washes.
7. The traditional use of the leaves is for hair and body washes.
8. The popular use of the flower is as a decorative plant.
9. The popular use of the leaves is as a decorative plant.
10. The international popularity of the plant is due to its decorative value and capacity to purify air."
2,"Matico
:
Piper
aduncum
Matico
is
a
common
vernacular
name
for
many
plants
in
the
Amazon
rainforest.
Typically
this
name
is
given
to
plants
in
the
piperaceae
family.
Matico
can
be
used
energetically
to
fan
away
negative
energy
for
those
who
feel
unwell.
In
the
Shuar
culture,
natives
call
upon
Arutam,
which
is
considered
the
spirit
of
the
jungle,
to
help
cleanse
and
restore
the
vitality
in
their
body.
The
cosmology
behind
plant
cleansings
is
that
leaves
of
these
plants
pull
negative
energy
out
of
the
body
and
therefore
enable
the
person
to
recharge
with
the
energy
from
the
jungle.
The
stalk
of
this
plant
grows
in
distinct
nodes
that
could
be
comparable
to
the
physical
characteristics
of
human
bones
and
joints.
Because
of
these
distinct
growth
formations,
natives
believe
this
plant
useful
in
healing
fractures.
It
is
a
great
example
of
‘doctrine
of
signatures’
in
which
the
physical
characteristic
of
the
plant
exhibits
their
herbal
action.","1. What is the name of the plant in the Piperaceae family typically given to plants in the Amazon rainforest?
2. What is the name of the spirit of the jungle in the Shuar culture?
3. What is the cosmology behind plant cleansings?
4. What are the physical characteristics of the plant that could be comparable to the physical characteristics of human bones and joints?
5. Why is the plant useful in healing fractures?","1. The name of the plant in the Piperaceae family typically given to plants in the Amazon rainforest is Matico.
2. The name of the spirit of the jungle in the Shuar culture is Arutam.
3. The cosmology behind plant cleansings is that leaves of these plants pull negative energy out of the body and therefore enable the person to recharge with the energy from the jungle.
4. The physical characteristics of the plant that could be comparable to the physical characteristics of human bones and joints are the distinct growth formations that could be comparable to the physical characteristics of human bones and joints.
5. The plant is useful in healing fractures because of the physical characteristics of the plant that could be comparable to the physical characteristics of human bones and joints."
3,"Tree
Fern/Helecho:
Alsophila
cuspidata
or
Cyathea
amazonica
Order:
Cyatheales
In
Jurassic
times,
it
is
believed
that
the
large
animals
that
roamed
the
jungle
fed
on
the
fiddle
heads
directly
from
these
tall
trees.
Natives
in
this
region
of
the
forest
use
this
fiddlehead
as
a
condiment
in
their
foods.
Cooking
with
this
fiddlehead
gives
food
a
unique
flavor
which
is
novel
for
people
who
live
in
the
jungle
without
access
to
typical
culinary
spices.
Video","1. What is the name of the tree fern?
2. What is the name of the Helecho?
3. What is the Order of the Cyatheales?
4. What is the name of the large animal that roamed the jungle?
5. What does the native use the fiddlehead as?
6. What does cooking with this fiddlehead give food?
7. What is the flavor that is novel for people who live in the jungle?","1. The name of the tree fern is Alsophila cuspidata.
2. The name of the Helecho is Cyathea amazonica.
3. The Order of the Cyatheales is a family of ferns.
4. The name of the large animal that roamed the jungle is unknown.
5. The native uses the fiddlehead as a condiment in their foods.
6. Cooking with this fiddlehead gives food a unique flavor which is novel for people who live in the jungle.
7. The flavor that is novel for people who live in the jungle is unknown."
4,"Large
Leaf
Plant:
This
heart
shaped
plant
is
planted
in
the
middle
of
chagras
or
gardens
to
bring
about
abundant
harvests
and
healthy
crops.
This
root
of
this
plant
is
also
used
as
a
condiment
and
has
a
flavor
similar
to
turmeric.
Video","1. What is the name of the plant? 
2. What is the purpose of the plant? 
3. What is the flavor of the root?","1. The name of the plant is Large Leaf Plant. 
2. The purpose of the plant is to bring about abundant harvests and healthy crops. 
3. The flavor of the root is similar to turmeric."
5,"Barbasco
:
Lonchocarpus
sp:
The
stalk
and
root
of
this
vine
is
crushed
and
the
liquid
extracted
is
used
as
a
venom
for
fishing.
Natives
will
throw
the
extract
of
barbasco
in
specific
areas
of
the
stream
where
the
fish
are
stunned
by
the
poison.
Barbasco
specifically
impacts
the
capillary
action
in
their
gills
and
they
are
unable
to
absorb
the
dissolved
oxygen
in
the
water.
Many
plants
are
known
vernacularly
as
Barbasco,
however
this
vine
is
considered
the
strongest
venom
of
all
the
species
known
as
Barbasco.
Hunters
also
mix
this
extract
with
another
plant-based
venom
called
curare
and
apply
this
combination
to
the
tips
of
their
blow
darts
to
hunt
for
mammals
and
birds
in
the
canopy.
Video","1. What is the name of the vine whose stalk and root is crushed to extract a venom used for fishing?
2. What specifically does the venom impact in the fish?
3. What are some other plants known as Barbasco?
4. What is the strongest venom of all the Barbasco species?
5. What is the purpose of mixing the extract of Barbasco with another plant-based venom?","1. The vine whose stalk and root is crushed to extract a venom used for fishing is Lonchocarpus.
2. The venom impacts the capillary action in the fish's gills and they are unable to absorb the dissolved oxygen in the water.
3. Other plants known as Barbasco include the liana vine Lonchocarpus sp. and the shrub Lippia alba.
4. The strongest venom of all the Barbasco species is found in the vine Lonchocarpus sp.
5. The purpose of mixing the extract of Barbasco with another plant-based venom is to hunt for mammals and birds in the canopy."
6,"Atacharana
or
Apacharana
-
Natives
harvest
the
bark
of
this
tree
and
burn
it
into
ash.
The
sandy
ashes
produced
are
mixed
with
a
latex
from
another
tree
(in
the
family
of
rubber
tree)
and
used
as
a
glaze
in
their
ceramic
pieces.
Video","1. What is the name of the tree whose bark is harvested?
2. What is used to mix with the sandy ashes to create a glaze?
3. What is the family of the other tree used in the mixture?","1. The tree whose bark is harvested is called the Atacharana tree.
2. The sandy ashes are mixed with latex from the rubber tree to create a glaze.
3. The rubber tree is in the family of rubber trees."
7,"Rayurumi/
Rayuangu/Rayuwaska
:
The
bark
of
this
vine
is
burned
and
the
ashes
are
applied
to
children's
belly
buttons
or
to
the
belly
of
the
mama
(while
they
are
in
utero)
to
give
them
strength
so
they
can
run
in
the
jungle
and
hunt
peccary
and
other
animals
with
agility.
Natives
will
also
administer
this
medicine
from
time
to
time
throughout
their
lives
to
avoid
becoming
decrepit
with
old
age.
Video","1. What is the bark of the vine burned for? 
2. What is the medicine administered to children? 
3. What is the medicine administered to adults? 
4. What is the vine used for? 
5. What is the bark of the vine burned for? 
6. What is the medicine administered to children? 
7. What is the medicine administered to adults? 
8. What is the vine used for?","1. The bark of the vine is burned to give children strength so they can run in the jungle and hunt animals with agility. 
2. The medicine administered to children is burned and the ashes are applied to their belly buttons or to the belly of the mother (while they are in utero). 
3. The medicine administered to adults is also burned and the ashes are applied to their belly buttons or to the belly of the mother (while they are in utero). 
4. The vine is used to avoid becoming decrepit with old age. 
5. The bark of the vine is burned to give children strength so they can run in the jungle and hunt animals with agility. 
6. The medicine administered to children is burned and the ashes are applied to their belly buttons or to the belly of the mother (while they are in utero). 
7. The medicine administered to adults is also burned and the ashes are applied to their belly buttons or to the belly of the mother (while they are in utero). 
8. The vine is used to avoid becoming decrepit with old age."
8,"Ceibo
Tree
/
Red
Ceibo
Tree:
Natives
cut
the
trunk
of
this
tree
to
extract
the
sap.
The
sap
then
hardens
and
they
purify
the
sap
by
heating
it
to
make
a
wax.
They
dip
cotton
cordage
they
make
from
the
Ceibo
tree
(or
red
ceibo
tree)
into
the
wax
and
wrap
the
waxed
string
around
wooden
staffs.
These
staffs
are
burned
as
torches,
and
traditionally
prepared
during
wartime.
The
sap
of
this
tree
is
also
burned
for
energetic/spiritual
cleansings.
It
has
a
lovely
aroma
and
thus
believed
to
have
strong
energetic
powers.
Video","1. What is the name of the tree?
2. What is the sap used for?
3. What is the sap burned for?
4. What is the aroma of the sap?","1. The name of the tree is Ceibo.
2. The sap is used for making wax and for burning as a torch.
3. The sap is burned for energetic/spiritual cleansings.
4. The aroma of the sap is lovely and believed to have strong energetic powers."
9,"Cascarilla
de
Loma
:
Genus:
Cinchona:
The
bark
of
this
plant
is
boiled
and
the
medicinal
infusion
is
used
to
treat
malaria.
The
active
medicinal
constituent
is
quinine.
Some
natives
mix
the
bark
with
salt
water
and
give
malaria
patients
this
infusion.
An
infusion
made
with
salty
hot
water
can
also
be
used
to
tan
leather.
Video","1. What is the genus of Cinchona?
2. What is the active medicinal constituent of quinine?
3. What is the use of an infusion made with salty hot water?","1. The genus of Cinchona is Cinchona.
2. The active medicinal constituent of quinine is quinine.
3. The use of an infusion made with salty hot water is to tan leather."
